,game_event_id,date,game_id,minute,type,club_id,player_id,description,player_in_id,player_assist_id
6816,5d2b67957aaae6cf2a41e70cb5d4024f,2012-09-22,2223841,73,Substitutions,3911,5399,", Not reported",37516.0,
6817,cd511880b945623db06ace57349e45b2,2012-09-22,2223841,76,Goals,3911,24459,", Penalty, 2. Goal of the Season Assist: , Fouled player",,24459.0
6818,8ca118538b45a24643ab1c9f76e50f6d,2012-09-22,2223841,56,Substitutions,3911,25113,", Not reported",22053.0,
6819,aca68dc250aa9a3758fb2243ee679d9d,2012-09-22,2223841,88,Cards,1423,27490,1. Yellow card,,
6820,a133e4d7cdccb930f2dc7b4935754a30,2012-09-22,2223841,4,Cards,1423,43960,1. Yellow card,,
6821,9883c30317b9b0bffb2df9da78f4cd01,2012-09-22,2223841,46,Substitutions,1423,43960,", Not reported",36291.0,
6822,cb04da1d66d24572e9abfe9c97a4690f,2012-09-22,2223841,40,Cards,3911,57349,1. Yellow card,,
6823,0eba639bc7cfa06ddb99a6155c269b2c,2012-09-22,2223841,61,Goals,3911,57349,", Left-footed shot, 2. Goal of the Season Assist:",,
6824,035962f1cfff0551f6aff99dac18ff35,2012-09-22,2223841,64,Substitutions,3911,57349,", Not reported",197857.0,
6825,99c515088a81adc311f187eb65e72adb,2012-09-22,2223841,78,Substitutions,1423,57403,", Not reported",43975.0,
6826,53595d9bc25626ee8c94fcae4f35570e,2012-09-22,2223841,11,Goals,1423,77828,", Left-footed shot, 1. Goal of the Season Assist: , Pass, 1. Assist of the Season",,4217.0
6827,aeccbf403b1fc8d18b7f9f569a4266be,2012-09-22,2223841,75,Cards,1423,101469,Red card,,
6828,86979042c195f500539940711e64925f,2012-09-22,2223841,71,Substitutions,1423,147487,", Not reported",5457.0,
6829,7bfedac8e134d366fc17012ca1b89453,2012-09-22,2223841,86,Cards,3911,197857,1. Yellow card,,
6830,3a298930e7d3afdec43129c73312658e,2012-09-29,2223842,70,Substitutions,1147,5879,", Not reported",57144.0,
6831,3dd2ae72f82178cd28446074762c9d11,2012-09-29,2223842,46,Cards,3911,22053,1. Yellow card,,
6832,54627905613d425baefa872ca2d136ec,2012-09-29,2223842,78,Substitutions,3911,24459,", Not reported",66783.0,
6833,732937471aa43183b71404ff05c439ad,2012-09-29,2223842,60,Substitutions,3911,25113,", Not reported",57349.0,
6834,7b45d17a488ba4a69b5036f0f919d00f,2012-09-29,2223842,78,Substitutions,1147,44687,", Not reported",93726.0,
6835,4501ee772da3ab36d936a9d9f9503e79,2012-09-29,2223842,88,Cards,1147,57144,3. Yellow card,,
6836,a6def08586b39919b6cb0f59edaf3146,2012-09-29,2223842,56,Goals,1147,80191,", Deflected shot on goal, 1. Goal of the Season Assist:",,
6837,4efc9b91547e369714d9d7c7322cb954,2012-09-29,2223842,62,Cards,3911,92569,1. Yellow card,,
6838,8913a841408121eddb2b34d01fd5bd6c,2012-09-29,2223842,68,Substitutions,3911,92569,", Not reported",5399.0,
6839,c29fb89e2936608c63cd74e1c05edf7b,2012-09-22,2223843,69,Cards,1421,12028,2. Yellow card,,
6840,5721b43a7514182d23d969bf85e4987a,2012-09-22,2223843,72,Substitutions,1421,29351,", Not reported",27390.0,
6841,5441d1330f64d543f99f05324475e4a1,2012-09-22,2223843,44,Cards,1421,31101,1. Yellow card,,
